#1:t_esc(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:a	#7:e	#8:t_mgr(gyr)	#9:dyn	#10:BS	#11:BB	#12:prev_partners_1	#13:prev_partners_2	#14:last_binint_type	#15:last_bininit_time	#16:model
0.308889  24.928529  25.406665  184628.0  471506.0  0.682694  0.775555  89.806013  1.0  1.0  0.0  0.0  2.0  1.0  0.308889  5e5-z0.001-1
0.315942  25.380047  36.816208  318407.0  434915.0  1.932494  0.811493  1873.290771  1.0  3.0  0.0  1.0  3.0  1.0  0.315942  5e5-z0.001-1
0.331991  27.848879  41.157658  82009.0  523364.0  0.781491  0.657666  206.324497  1.0  1.0  0.0  6.0  10.0  1.0  0.331991  5e5-z0.001-1
0.36154  20.168589  25.298768  85124.0  316481.0  0.259443  0.642281  9.969723  1.0  8.0  3.0  0.0  2.0  1.0  0.36154  5e5-z0.001-1
0.406605  31.274383  25.315743  163163.0  405105.0  0.455554  0.771288  13.752788  1.0  1.0  0.0  5.0  1.0  1.0  0.406605  5e5-z0.001-1
0.448765  25.284517  27.936939  26073.0  472928.0  1.107631  0.980599  0.650244  1.0  1.0  0.0  1.0  6.0  1.0  0.448765  5e5-z0.001-1
0.452092  24.771815  30.443442  42629.0  353198.0  0.720146  0.401166  1102.49611  1.0  0.0  1.0  1.0  4.0  2.0  0.452092  5e5-z0.001-1
0.482448  25.3926  25.32518  76005.0  508165.0  1.789743  0.897208  375.766392  1.0  15.0  0.0  0.0  2.0  1.0  0.482448  5e5-z0.001-1
0.491358  19.335732  40.081509  511751.0  567736.0  1.252263  0.812023  413.765971  1.0  2.0  0.0  1.0  14.0  1.0  0.491358  5e5-z0.001-1
0.492286  24.183116  25.349833  163031.0  196015.0  0.350096  0.229925  130.806508  1.0  2.0  0.0  1.0  3.0  1.0  0.492286  5e5-z0.001-1
0.559463  29.825611  24.908969  8774.0  839345.0  0.441291  0.996477  0.559477  1.0  1.0  0.0  5.0  1.0  1.0  0.559463  5e5-z0.001-1
0.613528  25.238828  29.576652  330063.0  401613.0  0.604261  0.94135  1.253971  1.0  3.0  0.0  0.0  2.0  1.0  0.613528  5e5-z0.001-1
