#1:t(gyr)	#2:m1	#3:m2	#4:id1	#5:id2	#6:dyn	#7:BS	#8:BB	#9:prev_partners_1	#10:prev_partners_2	#11:a	#12:e	#13:model
0.101914  16.3326  18.6369  1077453.0  2144909.0  1.0  1.0  0.0  12.0  0.0  2.5769  0.021291  2e6-z0.001-1
0.113501  15.6036  19.4942  1945571.0  2046674.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0  2e6-z0.001-1
0.501562  25.2633  39.7646  396462.0  1745834.0  1.0  0.0  2.0  8.0  8.0  0.015216  0.126633  2e6-z0.001-1
0.025927  12.0197  15.0898  650503.0  1054230.0  1.0  1.0  0.0  4.0  0.0  0.422745  0.006171  1e6-z0.005-rg2
0.073504  10.1889  13.3057  317726.0  1019012.0  1.0  5.0  0.0  0.0  0.0  0.02562  0.060516  1e6-z0.005-rg2
0.224123  16.3437  22.6401  205406.0  958222.0  1.0  1.0  3.0  1.0  1.0  0.0  0.0  1e6-z0.005-rg2
0.052062  7.79115  7.47811  120775.0  215902.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2e5-z0.005-rg2
0.014984  10.1231  15.8062  3753053.0  2096588.0  1.0  0.0  0.0  1.0  1.0  0.0  0.0  2e6-z0.005-rg2
0.04196  7.96087  10.1669  364279.0  2180286.0  1.0  5.0  0.0  0.0  0.0  4.35141  0.078954  2e6-z0.005-rg2
0.047318  7.8387  7.3354  340199.0  2106253.0  0.0  1.0  1.0  0.0  4.0  0.0  0.0  2e6-z0.005-rg2
0.070038  8.24642  13.089  483359.0  2163949.0  1.0  3.0  0.0  0.0  0.0  5.77539  0.065777  2e6-z0.005-rg2
0.116616  8.29866  8.26404  95874.0  2073799.0  0.0  3.0  0.0  0.0  0.0  0.0  0.0  2e6-z0.005-rg2
0.39263  18.9334  28.5684  263027.0  988116.0  1.0  0.0  1.0  5.0  4.0  0.0  0.0  2e6-z0.005-rg2
0.437845  8.01958  7.95897  58319.0  2090283.0  0.0  8.0  1.0  0.0  1.0  0.0  0.0  2e6-z0.005-rg2
0.017133  8.68344  15.8094  317726.0  1019012.0  1.0  1.0  0.0  1.0  0.0  4.03111  0.06416  1e6-z0.005-rg2-1
0.250186  8.06055  10.1904  226068.0  1462429.0  1.0  2.0  0.0  1.0  0.0  6.40851  0.025897  1e6-z0.005-rg2-1
8.501706  10.7055  13.89  124731.0  2139528.0  1.0  0.0  0.0  5.0  0.0  0.0  0.0  1e6-z0.005-rg2-1
0.01717  6.24219  17.7147  2155687.0  2230558.0  1.0  7.0  0.0  6.0  0.0  8.4925  0.197924  2e6-z0.005-rg2-1
0.057824  8.01572  7.79604  58319.0  2755880.0  1.0  1.0  0.0  2.0  2.0  0.0  0.0  2e6-z0.005-rg2-1
0.093606  8.23607  10.8077  1086836.0  2182581.0  1.0  2.0  2.0  7.0  0.0  5.99751  0.019013  2e6-z0.005-rg2-1
0.117315  8.24144  13.089  483359.0  2163949.0  1.0  2.0  0.0  1.0  0.0  6.49625  0.009286  2e6-z0.005-rg2-1
0.196519  30.8578  30.8156  875288.0  1864554.0  1.0  2.0  2.0  5.0  7.0  0.0  0.0  2e6-z0.005-rg2-1
0.307479  8.25696  11.1656  836003.0  2209378.0  1.0  7.0  1.0  2.0  0.0  0.036219  0.117237  2e6-z0.005-rg2-1
2.096512  15.6361  19.1716  1276963.0  1661852.0  1.0  0.0  1.0  6.0  6.0  0.041786  0.990227  2e6-z0.005-rg2-1
0.0113  17.3055  22.1127  481998.0  1072882.0  1.0  1.0  1.0  3.0  0.0  1.81224  0.11844  1e6-z0.0002-rg20
0.011327  16.8532  22.5675  958917.0  1042845.0  1.0  1.0  0.0  1.0  0.0  1.71116  0.025344  1e6-z0.0002-rg20
0.012289  16.3042  18.928  829244.0  1005940.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  1e6-z0.0002-rg20
0.013927  50.8389  36.5893  1124442.0  1238936.0  1.0  64.0  4.0  0.0  13.0  0.0  0.0  1e6-z0.0002-rg20
0.014103  19.8541  23.057  153035.0  1059145.0  1.0  1.0  0.0  1.0  0.0  1.74669  0.207501  1e6-z0.0002-rg20
0.014804  19.8218  24.2687  951271.0  1039528.0  1.0  1.0  0.0  0.0  0.0  1.88534  0.024586  1e6-z0.0002-rg20
0.019941  20.54  28.486  61426.0  1022624.0  1.0  1.0  0.0  3.0  0.0  2.01962  0.024818  1e6-z0.0002-rg20
0.022652  8.56617  12.1936  861599.0  1001275.0  1.0  0.0  1.0  1.0  0.0  0.016082  0.100383  1e6-z0.0002-rg20
